FINESCALE_ID,ID_1,ID_2,TYPE,N_IND,ORDER,FAMILY,GENUS,SPECIES,ETH_A,SI_A,RESOLUTION,
Eurylophella,A,18,AB,0,Ephemenoptera,Ephemerellidae,Eurylophella,NA,0,0,Genus,
Gomphus,A,1,AB,1,Odonata,Gomphidae,Gomphus,NA,0,1,Genus,
Gomphus,A,2,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,3,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,4,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,5,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,6,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,7,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,8,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,9,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,10,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,11,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,12,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,13,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,14,AB,3,Odonata,Gomphidae,Gomphus,NA,1,2,Genus,
Gomphus,A,15,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,16,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,17,AB,0,Odonata,Gomphidae,Gomphus,NA,0,0,Genus,
Gomphus,A,18,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,1,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,2,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,3,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,4,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,5,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,6,AB,1,Coleoptera,Haliplidae,Haliplus,NA,1,0,Genus,
Haliplus,A,7,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,8,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,9,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,10,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,11,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,12,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,13,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,14,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,15,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,16,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,17,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Haliplus,A,18,AB,0,Coleoptera,Haliplidae,Haliplus,NA,0,0,Genus,
Hesperocorixa,A,1,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,2,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,3,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,4,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,5,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,6,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,7,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,8,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,9,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,10,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
Hesperocorixa,A,11,AB,0,Hemiptera,Corixidae,Hespercorixa,NA,0,0,Genus,
