GEN_N,FISH_N,,,,
434,NRD_LOP_06202021_MWT_002,,481,GS_LOP_06192021_MWT_005,
435,BM_LOP_06202021_MWT_001,,482,BM_LOP_06192021_MWT_003,
436,NRD_LOP_06202021_MWT_001,,483,GS_LOP_06192021_MWT_002,
437,NRD_LOP_06202021_MWT_003,,484,WS_LOP_06192021_MWT_002,
438,FHM_LOP_06202021_MWT_003,,485,CS_LOP_06192021_MWT_006,
439,NRD_LOP_06202021_MWT_004,,486,GS_LOP_06192021_MWT_010,
440,BM_LOP_06202021_MWT_002,,487,FHM_LOP_06192021_MWT_002,
441,PS_LOP_06202021_MWT_001,,488,GS_LOP_06192021_MWT_001,
442,CC_LOP_06202021_MWT_005,,489,GS_LOP_06192021_MWT_011,
443,CC_LOP_06202021_MWT_004,,490,BM_LOP_06192021_MWT_002,
491,BM_LOP_06192021_MWT_001,,538,NRD_TPP_06272021_MWT_003,
492,FHM_LOP_06192021_MWT_001,,539,NRD_TPP_06272021_MWT_004,
493,CC_COM_06232021_MWT_006,,540,CC_TPP_06272021_MWT_001,
494,NRD_COM_06232021_MWT_001,,541,FHM_TPP_06272021_MWT_002,
495,CC_COM_06232021_MWT_005,,542,FSD-NRD_TPP_06272021_MWT_006,
496,NRD_COM_06232021_MWT_002,,543,NRD_TPP_06272021_MWT_001,
497,CC_COM_06232021_MWT_010,,544,NRD_TPP_06272021_MWT_002,
498,CC_COM_06232021_MWT_007,,545,BB_TPP_06272021_MWT_003,
499,CC_COM_06232021_MWT_008,,546,CC_TPP_06272021_MWT_002,
500,CC_COM_06232021_MWT_009,,547,FHM_TPP_06272021_MWT_003,
501,CC_COM_06232021_MWT_011,,548,BB_TPP_06272021_MWT_001,
502,ST_ETL_722021_GLN_001,,549,FSD-NRD_TPP_06272021_MWT_005,
503,ST_ETL_722021_GLN_002,,550,FSD-NRD_TPP_06272021_MWT_001,
504,ST_ETL_722021_GLN_003,,551,FSD-NRD_TPP_06272021_MWT_004,
505,ST_ETL_722021_GLN_004,,552,FSD-NRD_TPP_06272021_MWT_003,
506,ST_ETL_722021_GLN_005,,553,FSD-NRD_TPP_06272021_MWT_002,
507,ST_ETL_722021_GLN_006,,554,ST_PRL_08102021_MWT_001,
508,CC_PRL_0712021_MWT_002,,555,CC_COM _6292021_GLN_001,
509,CC_PRL_0712021_MWT_001,,556,CC_COM _6292021_GLN_002,
510,BND_PRL_06232021_MWT_001,,557,CC_COM _6292021_GLN_003,
511,BND_ETL_0712021_MWT_002,,558,CC_PRL_08112021_MWT_002,
512,NRD_TPP_06262021_MWT_006,,559,BND_PRL_08112021_MWT_001,
513,ST_TPP_06262021_MWT_001,,560,BND_PRL_08112021_MWT_002,
514,CC_TPP_06262021_MWT_003,,561,CC_PRL_08112021_MWT_001,
515,CC_TPP_06262021_MWT_001,,562,CC_PRL_08112021_MWT_003,
516,CC_TPP_06262021_MWT_002,,564,ST_PRL_8112021_GLN_001,
517,CC_TPP_06262021_MWT_005,,566,NRD_COM_08112021_MWT_004,
518,CC_TPP_06262021_MWT_004,,567,NRD_COM_08112021_MWT_005,
519,FHM_TPP_06262021_MWT_005,,568,NRD_COM_08112021_MWT_007,
520,FHM_TPP_06262021_MWT_003,,569,NRD_COM_08112021_MWT_006,
521,FHM_TPP_06262021_MWT_004,,570,CC_PRL_08102021_MWT_001,
522,FHM_TPP_06262021_MWT_002,,571,CC_PRL_08102021_MWT_010,
523,FHM_TPP_06262021_MWT_001,,572,CC_PRL_08102021_MWT_006,
524,ST_PRL_6232021_GLN_001,,573,CC_PRL_08102021_MWT_008,
525,ST_PRL_08112021_MWT_001,,574,CC_PRL_08102021_MWT_004,
526,BND_PRL_08112021_MWT_003,,575,CC_PRL_08102021_MWT_009,
527,BND_PRL_08112021_MWT_004,,576,CC_PRL_08102021_MWT_003,
528,GS_TPP_06272021_MWT_002,,577,CC_PRL_08102021_MWT_002,
529,CC_TPP_06272021_MWT_005,,578,CC_PRL_08102021_MWT_011,
530,GS_TPP_06272021_MWT_005,,579,CC_PRL_08102021_MWT_005,
531,GS_TPP_06272021_MWT_004,,580,CC_PRL_08102021_MWT_007,
532,GS_TPP_06272021_MWT_003,,581,CC_COM_08112021_MWT_005,
