ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF, Volume(m3),Littoral Area (ha),Elevation (m), Watershed,Quad
,,,,4,,,,,,1,,,1,10,,87,,,,,,,,,1,,,,,4,,,,,,,,,,,,9,,,,,,,,,,,,,4456569,10.3,480,Champlain,Upper Saranac Lake 
,,,,,,,17,,,,,,93,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29453,0.7,488,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14588,0.2,487,Champlain,Upper Saranac Lake 
,,,,,,,22,,,,,,199,,,11,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117079,11.8,485,Champlain,Upper Saranac Lake 
,,,,,,,4,,,,,,153,,,28,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37523,6.5,485,Champlain,Upper Saranac Lake 
3,1,9,,,,,104,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555738,2.6,481,Champlain,Upper Saranac Lake
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,35594,0.6,480,Champlain,Upper Saranac Lake
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11971,0.2,480,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5924,0.8,484,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148251,0.7,479,Champlain,Upper Saranac Lake 
,,,,4,,,11,,,,,,1,,,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250642,4.8,480,Champlain,Upper Saranac Lake 
,,,,6,,,1,,,1,,,22,9,,65,1,2,,,,,,,,,,,,5,,,,,,,,,,1,,4,,,,,,,,,,,,,1506074,24.3,480,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42017,0.5,488,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17925,0.6,488,Champlain,Upper Saranac Lake 
,,,,9,,,32,,,,,,49,7,,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369091,20.9,484,Champlain,Upper Saranac Lake 
,,,,,,,22,,,,,,30,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80354,2.3,485,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,42669,0.8,494,Champlain,Upper Saranac Lake 
7,,,,,,,,,,,,,53,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72186,0.8,494,Champlain,Upper Saranac Lake 
10,,,,,,,137,,,,,,4,15,,68,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1233197,9.4,484,Champlain,Upper Saranac Lake 
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88870,0.6,482,Champlain,Upper Saranac Lake 
1,,,,,,,,,,32,,,11,12,,92,,4,,,,,,,2,,14,,,21,,,,,,,,,,,,,,,,,,,,,,,,,5230388,61.5,488,Champlain,Upper Saranac Lake 
,,,,,,,65,,3,26,,,26,10,,120,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106783,3.5,492,Champlain,Upper Saranac Lake 
,,,,,,,6,,1,,,,2,1,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32888,2.4,489,Champlain,Upper Saranac Lake 
,,,,,,,,,3,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8131,0.4,497,Champlain,Upper Saranac Lake 
,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16009,1.2,500,Champlain,Upper Saranac Lake 
2,,,,,,,,,7,35,1,,,3,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,1011088,4.1,509,Champlain,Upper Saranac Lake 
31,,,,,,,,,102,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155230,2.1,512,Champlain,Upper Saranac Lake 
11,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14152,1.2,509,Champlain,Upper Saranac Lake 
7,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29076,0.8,498,Champlain,Upper Saranac Lake 
15,,,,,,,7,,13,,,,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5735,0.8,494,Champlain,Upper Saranac Lake 
2,,,,,,,1,,,5,,,5,4,,81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,743799,7.9,491,Champlain,Upper Saranac Lake 
