Pond #,Pond Name,Town,Quad,Park,Ownership,Wilderness Area,County, Watershed, LTM, Primitive Area, Wild Forest Area,Latitude,Longitude,Watershed Area (ha), Volume(m3),WA/SA ratio,Max Depth (m),NYTMN,NYTME,Runoff (cm),Littoral Area (ha),%Shore Slope >5deg,Mean Depth (m),Elevation (m), Surface Area (ha),Flushing Rate(times/yr),Shoreline Length (km),Date,ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF
40335,SPECTACLE POND SOUTH ,Clifton ,Cranberry Lake ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440746,745039,6.3,57334,2.6,7.6,48860,5127,76,1.6,5,2.4,521,2.4,0.8,0.7,6/22/1984,4,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40336,SIMMONS POND ,Clifton ,Wolf Mtn. ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440720,745100,63.9,410025,9.8,19.2,48854,5118,76,2.5,25,6.3,521,6.5,1.2,1.1,6/21/1984,1,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40338,UNNAMED POND (MILL POND) ,Fine ,Newton Falls ,Y ,Mixed ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440742,745531,431.8,32799,154.2,1.2,48861,5061,76,2.8,80,1.1,456,2.8,100.1,1.1,10/3/1984,,,,,,,,5,,,,,,1,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40340,OTTER POND ,Fine ,Five Ponds ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440620,745910,1059.5,238840,60.9,4.6,48834,5009,64,15.2,99,1.4,485,17.4,28.4,2.5,6/22/1984,,,,,,,,3,,1,19,,,41,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40343,BUCK POND ,Fine ,Five Ponds ,Y ,Private ,None ,St. Lawrence,Oswegatchie,N,None,None,440347,745950,100,109322,25,7.6,48788,5001,76,2.3,25,2.7,539,4,7,0.9,6/17/1985,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40344,CAGE LAKE ,Webb ,Oswegatchie SE ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440308,750026,234.2,459506,13.5,7.6,48772,4991,64,10.9,20,2.6,553,17.4,3.3,2.5,6/20/1984,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40345,BIG SHALLOW POND,Webb,Five Ponds,Y,Public,Five Ponds,Herkimer,Oswegatchie,N,None,None,440309,745701,176.5,20268,65.4,1.2,48774,5041,76,2.7,20,0.8,510,2.7,66.2,0.7,6/11/1986,11,,,,,,,,,25,22,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40346,WASHBOWL POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440255,745700,14.1,24360,8.8,2.4,48772,5041,76,1.6,80,1.5,515,1.6,4.4,0.5,6/11/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40347,LITTLE SHALLOW POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440255,745711,141,18332,56.4,1.8,48770,5038,76,2.5,10,0.7,512,2.5,58.5,0.8,6/11/1986,10,,,,,,,394,,71,29,11,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40348,LITTLE FIVE POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440322,745649,1527.4,14201,763.7,2.4,48778,5041,76,2,3,0.7,527,2,817.5,0.6,6/12/1986,14,,,,,,,,,1,,,,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40349,BIG FIVE POND,Webb,Five Ponds,Y,Public,Five Ponds,Herkimer,Oswegatchie,N,None,None,440310,745708,1510,57576,255.9,2.4,48773,5036,76,5.9,20,1,530,5.9,199.3,1.4,6/12/1986,3,,,,,,,,,,,,,1,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40350,LONE DUCK POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440213,745828,24.2,22187,15.1,2.7,48758,5019,76,1.6,2,1.4,545,1.6,8.3,0.6,6/10/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40351,MUIR POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440219,745924,62.7,119771,12.8,6.1,48758,5009,76,3.2,98,2.5,563,4.9,4,1.5,6/21/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40352,WOLF POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440148,745928,1168.8,557066,41.3,5.5,48748,5011,76,21.1,50,2,541,28.3,15.9,3.2,6/25/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40353,STREETER FISHPOND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440053,745817,26.9,203136,5.2,11.9,48734,5021,76,2.4,15,3.9,591,5.2,1,1.1,6/17/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40354,RILEY POND LOWER ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440017,745834,148.8,29743,30.4,1.5,48722,5021,76,4.9,99,0.6,588,4.9,38,1.2,6/21/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40355,RILEY POND UPPER ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440014,745750,81.5,107683,14.3,3,48720,5027,76,5.7,99,1.9,607,5.7,5.8,1.1,6/21/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40356,UNNAMED POND ,Clifton ,Five Ponds ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440525,745312,51,24963,31.9,5.8,48817,5092,76,1.3,35,1.7,558,1.6,12.2,0.6,6/20/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40357,GLASBY POND ,Clifton ,Five Ponds ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440557,745258,233.8,97366,61.5,7.9,48828,5095,76,2.5,5,2.6,532,3.8,18.3,0.8,6/20/1985,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40359,NICKS POND ,Webb ,Wolf Mtn. ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440401,745148,642.2,92031,108.8,4.9,48792,5111,76,4.9,10,1.6,502,5.9,53,1.2,6/25/1986,30,,,,,,,31,,10,52,,,16,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40360,BIG DEER POND,Long Lake,Wolf Mtn.,Y,Public,Five Ponds,Hamilton,Oswegatchie,N,None,None,440359,745027,159.5,157820,7,1.5,48793,5129,76,22.7,99,0.7,533,22.7,7.7,2.4,6/21/1984,,,,,,,,,,53,,366,,46,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40361,CLEAR POND ,Clifton ,Wolf Mtn. ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440435,745132,140.5,178114,21,6.1,48804,5113,76,4,5,2.7,515,6.7,6,1.2,6/20/1985,49,,,,,,,,,22,23,1,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40362,GRASSY POND ,Clifton ,Wolf Mtn. ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440454,745106,27.4,15573,22.8,2.4,48808,5119,76,1.2,99,1.3,541,1.2,13.4,0.5,6/22/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40363,SLENDER POND ,Clifton ,Wolf Mtn. ,Y ,Public ,Five Ponds ,St. Lawrence,Oswegatchie,N,None,None,440445,745056,21.7,161836,4.2,13.7,48805,5119,76,3.2,10,3.1,541,5.2,1,1.2,6/19/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40364,WEST POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440230,745355,815.8,104559,166.5,6.7,48764,5078,76,3.5,99,2.1,564,4.9,59.3,1.1,6/20/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40365,OVEN LAKE ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440134,745419,589.8,592722,28.1,12.2,48740,5072,76,14.3,70,2.8,611,21,7.6,5.5,6/4/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40366,GRASSY POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440102,745419,411.2,257924,35.1,7.9,48733,5076,76,9,80,2.2,611,11.7,12.1,2.6,6/4/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40367,HYDE POND ,Webb ,Five Ponds ,Y ,Private ,None ,Herkimer,Oswegatchie,N,None,None,440054,745404,34.6,77678,10.5,6.1,48735,5081,76,2.3,25,2.4,619,3.3,3.4,0.9,6/18/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40368,HITCHENS POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440041,745418,321.3,40219,71.4,2.4,48728,5076,76,4.4,99,0.9,613,4.5,60.7,1,6/4/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40369,TOAD POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440107,745557,73.5,81183,7.6,1.8,48738,5053,76,9.7,90,0.8,582,9.7,6.9,1.5,6/21/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40370,UNNAMED POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440044,745525,65.8,3257,94,1.2,48730,5060,76,0.7,85,0.5,607,0.7,153.6,0.5,6/17/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40372,LITTLE CROOKED LAKE ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440014,745621,68.5,156036,9.5,6.7,48722,5046,76,5.6,99,2.1,637,7.2,3.3,1.6,6/21/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40373,CROOKED LAKE ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,435948,745648,436.3,1287610,9.2,4.6,48713,5050,76,23.8,80,2.7,624,47.4,2.6,5.5,6/4/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40374,COVEY POND ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,435921,745608,11.7,10145,7.3,1.8,48705,5053,76,1.6,99,0.6,669,1.6,8.8,0.6,6/4/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40375,CRACKER POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440218,745323,265.7,163986,34.5,5.8,48757,5088,76,5.8,80,2.1,590,7.7,12.3,1.7,6/20/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
