Pond #,Pond Name,Town,Quad,Park,Ownership,Wilderness Area,County, Watershed, LTM, Primitive Area, Wild Forest Area,Latitude,Longitude,Watershed Area (ha), Volume(m3),WA/SA ratio,Max Depth (m),NYTMN,NYTME,Runoff (cm),Littoral Area (ha),%Shore Slope >5deg,Mean Depth (m),Elevation (m), Surface Area (ha),Flushing Rate(times/yr),Shoreline Length (km),Date,ST,BT,RT,CLM,NP,CP,CRP,GS,CS,CC,WS,NRD,BM,BB,PS,RB,YP,LMB,SMB,RBS,BC,BS,MM,BND,BK,LT,SPL,KOK,LNS,LC,FF,PD,BG,WE,TM,YB,RWF,FHM,SS,LND,LLS,ESM,RS,BRM,LWF,CIS,TGT,AE,FSD,CCS,SAL,MCS,BDS,AW,NF
40376,GAL POND ,Webb ,Five Ponds ,Y ,Public ,Five Ponds ,Herkimer,Oswegatchie,N,None,None,440245,745333,1026.9,87300,180.2,3.4,48766,5085,76,5.4,70,1.5,564,5.7,89.4,1,6/19/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40377,GULL LAKE ,Webb ,Five Ponds ,Y ,Private ,None ,Herkimer,Oswegatchie,N,None,None,440118,745259,138.2,1354381,4.6,15.2,48736,5089,76,13.5,5,4.5,619,30.2,0.8,2.8,6/18/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40378,LITTLE DUCK POND ,Webb ,Five Ponds ,Y ,Private ,None ,Herkimer,Oswegatchie,N,None,None,440100,745248,25.8,5434,36.9,1.5,48735,5096,76,0.7,90,0.8,612,0.7,36.1,0.3,6/10/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40379,DEER POND ,Webb ,Wolf Mtn. ,Y ,Private ,None ,Herkimer,Oswegatchie,N,None,None,440047,745224,303.2,55152,48.1,2.1,48729,5102,76,6.3,30,0.9,552,6.3,41.8,1.4,6/20/1985,2,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40380,PARTLOW MILLDAM ,Webb ,Wolf Mtn. ,Y ,Private ,None ,Herkimer,Oswegatchie,N,None,None,440110,745058,386.6,15856,297.4,3,48737,5120,76,1.3,10,1.2,521,1.3,185.3,0.7,6/19/1985,32,,,,,,,,,11,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40381,JENKINS POND ,Webb ,Wolf Mtn. ,Y ,Private ,None ,Herkimer,Oswegatchie,N,None,None,440029,745135,11.5,28745,12.8,6.1,48726,5112,76,0.4,90,3.2,549,0.9,3,0.4,6/19/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40382,PARTLOW LAKE ,Long Lake ,Wolf Mtn. ,Y ,Private ,None ,Hamilton,Oswegatchie,N,None,None,440008,745030,288.4,1077843,9.6,8.2,48720,5133,76,12.4,10,3.6,534,29.9,2,3.4,6/19/1985,53,,,,,,,,,10,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40409,UNNAMED POND ,Watson ,Crystal Dale ,Y ,Private ,None ,Lewis,Black,N,None,None,435040,751614,20.8,7216,29.7,1.2,48545,4783,64,0.7,90,1,378,0.7,18.5,0.3,9/18/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40416,LOWER WEST POND ,Watson ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435258,751400,145.1,59778,25.9,3.4,48587,4814,64,5.5,75,1.1,431,5.6,15.5,1,6/5/1985,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40417,UPPER WEST POND ,Watson ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435314,751345,45.3,8255,41.2,2.1,48592,4817,64,1.1,95,0.7,443,1.1,35.1,0.4,5/29/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40419,GOOSE POND ,Croghan ,Stillwater ,N ,Private ,None ,Lewis,Black,N,None,None,435756,751438,95.4,76702,31.8,6.1,48680,4805,64,1.9,99,2.6,411,3,8,0.8,6/4/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40421,UNNAMED POND ,Croghan ,Stillwater ,N ,Private ,None ,Lewis,Black,N,None,None,435721,751453,45.2,62588,16.1,6.1,48668,4801,64,2,90,2.2,408,2.8,4.6,0.6,6/4/1985,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40423,BELFORT POND,Croghan,Belfort,N,Private,None,Lewis,Black,N,None,None,435539,751953,64420.2,246270,4210.5,4.6,48636,4737,51,13.6,20,1.6,294,15.3,0,3.9,10/7/1986,,,,,,1,,4,,,26,,,1,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40424,TAYLORVILLE RESERVOIR ,Croghan ,Belfort ,N ,Private ,None ,Lewis,Black,N,None,None,435541,751840,64160.9,1101006,1711,7.6,48636,4756,64,20,5,2.9,326,37.5,373,4.4,9/19/1985,,,,,,5,,21,,,47,,,92,16,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40426,EFFLEY FALLS RESERVOIR ,Croghan ,Belfort ,N ,Private ,None ,Lewis,Black,N,None,None,435524,751639,63520.7,6143442,522.8,9.4,48630,4790,64,28.2,30,5.1,354,121.5,66.2,9.5,10/6/1986,,,,,,7,,1,,,57,,,16,4,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40429,SNIDER POND ,Croghan ,Stillwater ,N ,Private ,None ,Lewis,Black,N,None,None,435545,751435,65.4,64319,10.4,2.1,48639,4804,64,6.3,30,1,378,6.3,6.5,1,6/11/1986,,,,,,,,44,,6,6,97,,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40431,SOFT MAPLE DAM POND ,Croghan ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435456,751333,505.8,2659486,14,19.2,48623,4812,64,9.4,0,7.4,392,36.1,1.2,6.1,6/10/1986,,,,,,2,,60,,,30,,,42,18,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40432,UNNAMED POND (TWIN WEST) ,Watson ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435342,751326,30.8,62264,6.2,4.6,48597,4821,64,4.8,10,1.2,456,5,3.2,1.3,6/6/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40433,ENGLE POND ,Croghan ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435527,751328,5.5,44410,2.6,5.2,48632,4824,64,1.5,20,2.1,384,2.1,0.8,0.6,6/11/1986,9,,,,,,,24,,,,367,,25,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,
40434,SOFT MAPLE RESERVOIR ,Croghan ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435507,751326,61267.6,8935709,477.9,18.3,48624,4829,64,33.2,0,7,392,128.2,43.9,16.4,6/9/1986,,,,,,2,,87,,,50,,,45,43,,58,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
040434A,IN OUT POND ,Croghan ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435517,751302,17.5,40470,11.7,6.1,48630,4826,64,0.9,3,2.7,395,1.5,2.8,0.7,6/5/1985,,,,,,,,95,,,11,,,19,12,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040434B,SEEPAGE POND ,Watson ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435439,751315,59.8,40503,54.4,6.7,48617,4822,64,0.5,1,3.7,395,1.1,9.4,0.4,6/10/1986,,,,,,1,,42,,,14,,,16,13,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40436,SAND POND ,Watson ,Stillwater ,Y ,Mixed ,None ,Lewis,Black,N,None,Watsons E Triangle,435652,750950,308.6,794842,13.5,6.1,48659,4872,64,16.7,25,2.6,498,30.2,3.3,2.3,6/19/1984,,,,,,,,,,,,,,53,36,,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40437,UNNAMED POND ,Watson ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435318,751106,46,14096,30.7,2.1,48592,4851,64,1.5,2,0.9,456,1.5,20.9,0.6,5/29/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40438,IKE'S POND ,Webb ,Stillwater ,Y ,Mixed ,Pepperbox ,Herkimer,Black,N,None,None,435407,750844,22.2,125478,6.9,8.2,48609,4884,64,1.3,10,3.9,510,3.2,1.1,0.8,6/3/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40439,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435443,750836,14.9,22480,12.4,7,48618,4885,64,1,15,1.8,457,1.2,4.2,0.4,6/26/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40440,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435436,750842,29,16175,12.1,2.4,48619,4884,64,2.4,3,0.7,494,2.4,11.5,0.9,6/27/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
040441A,SADIE POND ,Watson ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435434,751005,3.7,21074,6.2,5.5,48617,4865,64,0.2,99,3.5,500,0.6,1.1,0.4,6/10/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40442,MCCABE POND ,Watson ,Stillwater ,Y ,Private ,None ,Lewis,Black,N,None,None,435522,750956,67.1,21048,55.9,4.6,48632,4867,64,0.9,99,1.8,515,1.2,20.4,0.5,6/6/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40443,PEPPERBOX POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435619,750343,79.3,195139,7.8,6.1,48646,4925,76,8.4,50,1.9,568,10.2,3.1,1.6,6/27/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40444,UNNAMED POND ,Webb ,Stillwater ,Y ,Private ,None ,Herkimer,Black,N,None,None,435728,750824,276.7,49744,58.9,4.6,48672,4889,64,4.4,95,1.1,500,4.7,35.6,1.6,6/9/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
040444A,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435625,750817,30.7,37849,5.7,2.1,48651,4889,64,5.4,0,0.7,488,5.4,5.2,1.1,6/6/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40446,TIED LAKE ,Webb ,Stillwater ,Y ,Private ,None ,Herkimer,Black,N,None,None,435845,750409,48.3,73873,16.7,6.4,48693,4946,64,1.9,20,2.5,570,2.9,4.2,0.8,6/10/1985,2,11,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40449,BEAVER LAKE,Watson,Stillwater,Y,Private,None,Lewis,Black,N,None,None,435257,750942,50349.8,2310665,531.1,9.1,48576,4873,64,65.1,75,2.4,435,94.8,139.5,10.4,9/9/1985,,,,,,12,,29,,,50,,,51,12,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40450,LITTLE BEAVER LAKE ,Watson ,Number Four ,Y ,Private ,None ,Lewis,Black,N,None,None,435211,750947,718.9,306831,38.7,3.4,48570,4872,64,18.1,85,1.6,435,18.6,15,2.4,9/10/1985,,,,,,6,,4,,,26,,,114,6,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40451,FRANCIS LAKE ,Watson ,Number Four ,Y ,Mixed ,None ,Lewis,Black,N,None,Independence River,435132,751016,532.8,1727127,8.2,6.7,48555,4863,64,25.5,7,3.2,440,54.6,1.6,5.4,6/9/1986,,,,,,22,,,101,,,,,52,32,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40453,MIRROR POND ,Watson ,Number Four ,Y ,Private ,None ,Lewis,Black,N,None,None,435127,750952,69.7,4745,348.5,3.7,48559,4868,64,0.1,99,2.4,442,0.2,94,0.2,6/9/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40454,WOODWARDIA POND ,Watson ,Number Four ,Y ,Private ,None ,Lewis,Black,N,None,None,435207,751000,32.9,31842,29.9,5.2,48570,4866,64,0.5,99,2.9,436,1.1,6.6,0.4,6/25/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
040454A,BEAVER MEADOW LAKE,Watson,Number Four,Y,Private,None,Lewis,Black,N,None,None,435217,751102,466.4,93463,28.4,2.1,48575,4847,64,16.4,20,0.6,448,16.4,31.9,3.2,5/29/1986,5,,,,,,,60,,10,33,218,,23,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40456,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435355,750812,159,48596,18.7,1.5,48606,4892,64,8.5,75,0.6,469,8.5,20.9,1.7,6/26/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40457,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435423,750752,315.7,8555,150.3,1.2,48615,4895,64,2.1,50,0.4,481,2.1,236.2,0.8,6/4/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40458,BEAR POND,Webb,Stillwater,Y,Public,Pepperbox,Herkimer,Black,N,None,None,435508,750705,39.2,14458,43.6,5.8,48629,4907,64,0.7,15,1.6,521,0.9,17.4,0.5,6/5/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
040464A,UNNAMED POND ,Webb ,Number Four ,Y ,Public ,None ,Herkimer,Black,N,None,Independence River,435218,750537,65.8,2733,131.6,1.5,48574,4923,64,0.5,10,0.5,500,0.5,154.1,0.5,5/29/1986,11,,,,,,,89,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40473,SUNDAY LAKE ,Webb ,Number Four ,Y ,Public ,None ,Herkimer,Black,N,None,Independence River,435140,750607,995.8,195987,129.3,5.5,48560,4917,64,4.1,60,2.5,503,7.7,32.5,1.3,10/16/1984,,,,,,,,1,,,38,,,3,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040474A,UNNAMED POND ,Webb ,Number Four ,Y ,Public ,None ,Herkimer,Black,N,None,Independence River,435113,750555,16.6,11754,16.6,2.1,48555,4920,64,1,99,1.2,512,1,9,0.4,6/9/1986,,,,,,,,2,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040474B,UNNAMED POND ,Webb ,Number Four ,Y ,Public ,None ,Herkimer,Black,N,None,Independence River,435124,750535,11,72134,5,5.2,48558,4925,64,1,70,3.3,512,2.2,1,0.6,6/9/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40476,UNNAMED POND ,Webb ,Number Four ,Y ,Public ,None ,Herkimer,Black,N,None,Independence River,435115,750539,52.4,9061,32.8,1.5,48597,4932,64,1.6,85,0.6,500,1.6,37,0.8,10/16/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40478,MOSHIER RESERVOIR ,Webb ,Stillwater ,Y ,Mixed ,Pepperbox ,Herkimer,Black,N,None,Independence River,435311,750632,47141.1,6646628,414.6,22.9,48597,4932,64,46.7,0,5.8,500,113.7,45.4,10.1,10/11/1984,,,,,,,,8,,,126,,,92,6,11,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40480,CROPSEY POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435444,750417,113.3,80274,35.4,7.6,48619,4944,76,2.4,60,2.5,582,3.2,10.7,1.1,6/20/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
040484A,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435540,750320,40.9,21283,14.6,1.5,48635,4955,76,2.8,99,0.7,591,2.8,14.6,0.7,6/20/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40485,DEER POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435555,750330,278.9,89146,31.3,3.7,48643,4953,64,8.8,10,1,594,8.9,20,1.7,6/9/1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40487,SUNSHINE POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435555,750315,214.6,1912245,8,15.2,48648,4958,76,7.2,30,7.2,589,26.7,0.9,3.7,6/19/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40488,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435650,750305,13.2,32970,13.2,6.4,48658,4958,76,0.5,80,3.3,600,1,3,0.4,6/17/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40489,LOWER MOSHIER POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435529,750439,248.4,231149,42.8,10.7,48643,4942,76,3.1,99,4,567,5.8,8.2,1.3,6/18/1984,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40490,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435608,750420,7.2,9822,9,2.7,48645,4942,76,0.8,99,1.2,564,0.8,5.6,0.4,6/18/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40491,UPPER MOSHIER POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435615,750420,248.4,371594,14,7,48651,4941,76,12.9,99,2.1,567,17.8,5.1,2.9,6/18/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40492,DUCK POND ,Webb ,Stillwater ,Y ,Public ,Pepperbox ,Herkimer,Black,N,None,None,435635,750454,36.8,135332,7.5,6.1,48655,4933,76,2.9,10,2.8,594,4.9,2.1,1.1,6/20/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40494,SHALLOW POND ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,Independence River,435513,750222,666,212873,148,16.8,48631,4969,76,2.6,20,4.7,587,4.5,23.8,1.2,6/10/1985,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40495,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435521,750212,31.4,64338,11.2,10.7,48631,4972,76,2,50,2.3,588,2.8,3.7,1.1,6/10/1985,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40496,RAVEN LAKE ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435512,750225,593.9,3931975,12.7,23.5,48639,4974,76,13.8,30,8.4,587,46.7,1.1,3.1,6/11/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40497,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435625,750103,82.5,40800,22.3,2.4,48650,4987,76,3.7,20,1.1,625,3.7,15.4,0.9,6/11/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40498,LYON LAKE ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435631,750128,156.6,1473271,4.8,11.9,48657,4984,76,9.8,15,4.5,610,32.5,0.8,3,6/11/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40499,SLIM POND ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435524,750119,36.5,124864,5.8,6.4,48632,4986,76,4.7,15,2,611,6.3,2.2,1.6,6/5/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40500,EVERGREEN LAKE ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435459,750058,70.2,1173683,3.9,18,48626,4987,76,5.4,20,6.4,613,18.2,0.5,2.8,6/4/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40501,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435515,750042,14,57789,9.3,9.1,48629,4990,76,0.7,50,3.9,612,1.5,1.8,0.6,6/4/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40502,PEAKED MOUNTAIN LAKE ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435440,750017,92.7,452178,6.2,11.9,48621,4996,76,9.7,60,3,532,15,1.6,1.8,6/5/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40504,HAWK POND ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Black,N,None,None,435716,745749,95.9,626295,6.9,11.6,48668,5032,76,5.2,15,4.5,645,13.8,1.2,1.9,6/5/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40505,HIDDEN LAKE (HANK'S PD) ,Webb ,Beaver River ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435517,745929,38.7,411369,5.2,16.8,48628,5005,76,2.4,20,5.6,550,7.4,0.7,1.4,6/4/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40506,UNNAMED POND ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435531,750007,33.1,7093,47.3,2.1,48632,4997,76,0.7,10,1,582,0.7,35.5,0.4,6/6/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40508,GINGER POND ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435537,750011,224.1,66476,36.7,4.6,48638,4998,76,5.7,90,1.1,588,6.1,25.6,2,6/10/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40510,UNNAMED POND ,Webb ,Beaver River ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435603,745952,151.4,90865,40.9,6.7,48645,5002,76,2.4,85,2.5,591,3.7,12.7,0.9,6/4/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40511,SODA POND ,Webb ,Stillwater ,Y ,Public ,None ,Herkimer,Black,N,Unnamed,None,435604,750031,36.1,291975,4.1,9.8,48644,4991,76,4.4,20,3.4,645,8.7,0.9,1.5,6/10/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40512,UNNAMED POND ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Black,N,None,None,435633,745900,85.8,24899,35.8,1.8,48653,5014,76,2.4,5,1,623,2.4,26.2,0.7,6/5/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40513,UNNAMED POND ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Black,N,None,None,435650,745944,46.8,127858,5.4,6.1,48657,5001,76,7.7,30,1.5,625,8.6,2.8,1.6,6/10/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40515,DISMAL POND ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Black,N,None,None,435711,745901,204,355051,9.5,4.6,48667,5018,76,20.6,90,1.7,621,21.5,4.4,4.8,6/7/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40516,UNNAMED POND ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Black,N,None,None,435713,745932,21.5,25606,11.3,4,48666,5007,76,1.8,10,1.3,606,1.9,6.4,1,6/11/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
40517,SALMON LAKE ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Black,N,None,None,435619,745636,2793,3221610,62.8,15.2,48656,5048,76,11.3,10,7.2,525,44.5,6.6,5,6/6/1984,12,,,,,,,,,,,,,97,3,,70,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40518,CAT POND ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Black,N,None,None,435641,745541,117.3,56605,17.5,2.7,48656,5060,76,6.7,75,0.8,532,6.7,15.8,1.7,6/11/1985,,,,,,,,21,,,,,,7,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40521,UNNAMED (ODOR POND) ,Webb ,Beaver River ,Y ,Public ,Five Ponds ,Herkimer,Black,N,None,None,435724,745543,76.2,56651,14.7,2.4,48667,5059,76,5.2,50,1.1,526,5.2,10.2,1.1,9/12/1984,,,,,,,,2,,,,,,325,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
