LONG ,LAT ,SO4_mgL,NO3_mgL,ANC,DIC,DOC,P_total,SIO2_mgL,Ca_mgL,Na_mgL,Fe_mgL,LAB_pH
73.86014444,44.237825,7.29,0,199.2,2.44,2.7,0.01,4.3,7.15,12,0.009,7.33
73.87403333,44.22449167,6.87,0,190.7,2.29,2.7,0.003,5.2,7.37,11.01,0.017,7.33
73.89458889,44.21671389,3.46,0.02,14.1,1.57,9.5,0.18,0.3,1.22,1.82,0.078,5.15
73.71263889,44.25699167,3.41,0,141.9,2.11,13.7,0.024,3.8,3.64,0.5,0.22,6.48
73.75319444,44.295325,8.98,0,584.7,7.85,4.2,0.016,7.4,8.26,1.22,0.027,7.84
73.73846944,44.14393889,6.53,0,144,1.59,4.9,0.056,2.7,4.82,0.6,0.031,6.66
73.75208056,44.14116111,5.23,0.04,77.8,1.23,2.6,0.014,6.3,2.59,1.01,0.035,6.9
73.82458333,44.11810833,5.41,0.14,57.6,0.69,3.2,0.014,5.8,2.62,0.6,0.072,6.7
73.86236111,44.08422222,5.51,0.13,71.3,0.95,3.5,0.031,5.8,2.72,0.69,0.091,6.88
73.51124444,44.35810556,5.5,0,647.7,8.66,8.6,0.023,7.5,11.76,1.37,0.103,7.55
73.55624444,44.28477222,6.38,0,538.3,11.56,10.5,0.04,6.8,9.32,1.32,0.446,6.53
73.55624444,44.26477222,22.41,0,1062.4,14.08,4.5,0.048,12.5,22.23,3.77,0.63,7.7
73.58235833,44.38615833,7.91,0,277.5,3.68,7.1,0.021,3.7,6.72,0.86,0.101,7.41
73.58485833,44.38310278,6.7,0,113.9,1.72,7.2,,2.5,2.82,0.68,0.068,6.64
73.58874722,44.38393611,7.85,0,117.1,1.6,6.8,0.03,2.3,3.95,0.83,0.023,7.01
73.59596944,44.37976944,8.54,0,221.2,3.22,4,,3,5.25,0.75,0.028,7.42
73.57180278,44.415325,8.53,0,358.8,4.67,5.2,0.023,3.5,7.33,1.21,0.014,7.77
73.65152778,44.39949167,7.49,0,502.2,5.82,7.7,0.017,2.4,8.79,0.91,0.237,8.84
73.53846389,44.16338611,6.36,0,74.4,1.04,10.9,0.019,0.9,3.05,0.67,0.064,6.34
73.51929444,44.15394167,5.29,0,189.5,2.58,6.2,0.014,0.5,4.52,0.68,0.017,7.13
73.55985278,44.11616389,5.16,0,209.6,2.55,7.3,0.011,3.2,5.75,4.86,0.39,6.89
73.55624167,44.11366389,4.87,0,201.7,3.64,9.7,0.011,3.3,5.69,4.8,0.335,6.51
73.55290556,44.11283056,4.84,0,169.3,3.02,9.8,0.027,4,5.79,4.97,0.335,6.7
73.54985,44.109775,4.53,0,181.7,4.16,10,0.024,6.6,7.31,11.13,0.315,6.46
73.54123889,44.11255278,4.34,0.01,64.9,,7.1,0.041,2.1,1.82,0.59,0.077,6.28
73.56957778,44.23810556,6.35,0,845,11.23,5.9,0.035,12.4,13.9,10.29,0.827,7.39
73.60235556,44.21032778,7.5,0,628.2,9.21,4.4,0.066,10.8,10.93,2.22,0.71,7.21
73.57818611,44.18088333,7.17,0,524.2,6.59,5.1,0.015,4.8,12.82,22.44,0.021,7.95
73.72318889,44.12310833,3.35,0.01,55.9,,10.2,0.052,1.8,2.17,0.19,0.055,6.16
73.73208056,44.12394167,4.39,0,72.2,0.99,2.4,0.005,4.8,2.74,0.48,0.006,6.92
73.72374444,44.10060833,5.66,0,264.8,4.03,6.4,0.015,4.6,5.21,1.42,0.101,6.75
73.70846667,44.10616389,1.25,0,4.9,0.75,10.3,0.042,1.3,0.89,0.06,0.16,4.91
73.71318889,44.10421944,4.53,0,33.1,0.88,6.9,0.034,1.9,2,0.46,0.066,5.84
73.46901667,44.15894167,5.99,0.01,874.8,,8.9,0.043,0.6,12.7,1.77,0.128,7.69
73.48790278,44.06533333,12.78,0.01,931.2,11.59,3.5,0.022,5.2,17.81,3.25,0.148,7.96
73.50790556,44.119775,5.48,0,123.8,1.64,7.6,0.013,0.2,4.15,0.71,0.03,6.9
73.51346111,44.12783056,5.73,0,73.4,1.15,4.6,0.008,1.5,3.19,0.67,0.02,6.82
73.53901667,44.089775,6.01,,424.1,6,4.1,0.014,9.3,10.04,11.1,0.234,7.28
73.60179444,44.03311111,3.4,0.01,255.9,,8.8,0.057,1.6,4.59,1.5,0.21,6.67
73.60318333,44.04033333,3.32,0,86.5,1.2,3.3,0.006,0.4,2.52,0.42,0.014,6.97
73.58012778,44.02561111,3.15,0,389.6,4.96,8.2,0.062,4.9,6.92,0.75,0.033,7.51
73.57707222,44.01783333,3.71,0,131.6,2.11,6.6,0.005,0.9,3.95,0.63,0.072,6.71
73.58429444,44.02588889,5.32,0.01,235.1,3.24,5.6,0.013,1.6,5.69,0.57,0.069,7.26
73.58262778,44.01588889,4.66,0,148.5,2.23,4.4,0.015,1.6,4.13,0.6,0.016,6.95
73.58068333,44.01366667,3.27,0,207.5,3.4,8.1,0.031,0.4,5.19,0.45,0.135,6.69
73.53151389,44.00422222,7.09,0,763.1,9.7,9.1,0.027,5.4,16.44,0.72,0.023,7.43
73.55901389,43.97922222,3.79,0,1050.8,13.44,12.8,0.025,5,19.78,0.5,0.061,7.61
73.54456944,43.98755556,4.93,0,438.5,5.27,5.6,0.024,2.4,9.74,0.68,0.095,7.59
73.54484722,43.99311111,5.76,0,,3.53,5.3,,4.1,6.18,0.85,0.058,7.43
73.55234722,43.91366944,3.75,0,923.8,11.48,6.4,0.025,1.5,16.87,0.44,0.235,8.2
73.57540278,43.86700278,5.73,0,128.7,1.96,4.5,0.011,2.3,3.46,0.61,0.092,6.55
